number,name,url,description,desc_url,airdate
419,Petty Tyrant,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/419.mp3,"In Schenectady, New York, a school maintenance man named Steve Raucci works his way up the ranks for 30 years, until finally he's in charge of the maintenance department. That's when he starts messing with his employees. Teasing them at meetings. Punishing them with crummy work assignments. Or worse things, like secretly slashing their tires in the middle of the night.  Ten years after his arrest, Steve Raucci broke his silence and gave an interview to Paul Nelson at the Times Union in Albany.",https://tal.fm/419,"Sun, 24 Feb 2019 18:00:00 -0500"
668,The Long Fuse,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/668.mp3,People tossing words out into the world impulsively. And how they ignite and burn. Over decades.,https://tal.fm/668,"Sun, 17 Feb 2019 18:00:00 -0500"
668,The Long Fuse,https://podcast.thisamericanlife.org/podcast/668.mp3,People tossing words out into the world impulsively. And how they ignite and burn. Over decades.,https://tal.fm/668,"Sun, 17 Feb 2019 18:00:00 -0500"
668,The Long Fuse,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/668.mp3,People tossing words out into the world impulsively. And how they ignite and burn. Over decades.,https://tal.fm/668,"Sun, 17 Feb 2019 18:00:00 -0500"
668,The Long Fuse,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/eb61a3a3-7989-4239-804c-df8c0ccd07c9/668.mp3,People tossing words out into the world impulsively. And how they ignite and burn. Over decades.,https://tal.fm/668,"Sun, 17 Feb 2019 18:00:00 -0500"
486,Valentine’s Day,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/486.mp3,Love makes us do crazy things. But usually not this crazy. This week for Valentine's Day we have stories of people going to extremes to find and pursue their one true love.,https://tal.fm/486,"Sun, 10 Feb 2019 18:00:00 -0500"
486,Valentine’s Day,https://podcast.thisamericanlife.org/podcast/486.mp3,Love makes us do crazy things. But usually not this crazy. This week for Valentine's Day we have stories of people going to extremes to find and pursue their one true love.,https://tal.fm/486,"Sun, 10 Feb 2019 18:00:00 -0500"
638,Rom-Com,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/638.mp3,"The one thing you know for sure when you're watching a romantic comedy is that it's going to turn out okay in the end. When you're living one? Not so much. This week, stories that unfold like rom-coms.",https://tal.fm/638,"Sun, 27 Jan 2019 18:00:00 -0500"
638,Rom-Com,https://podcast.thisamericanlife.org/extended/638.mp3,"The one thing you know for sure when you're watching a romantic comedy is that it's going to turn out okay in the end. When you're living one? Not so much. This week, stories that unfold like rom-coms.",https://tal.fm/638,"Sun, 27 Jan 2019 18:00:00 -0500"
666,The Theme That Shall Not Be Named,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/621dc3cb-6d0e-4052-85eb-6616a9255ec0/666.mp3,"Satan! In his many surprising manifestations, all around us.",https://tal.fm/666,"Sun, 20 Jan 2019 18:00:00 -0500"
666,The Theme That Shall Not Be Named,https://podcast.thisamericanlife.org/podcast/666.mp3,"Satan! In his many surprising manifestations, all around us.",https://tal.fm/666,"Sun, 20 Jan 2019 18:00:00 -0500"
666,The Theme That Shall Not Be Named,https://podcast.thisamericanlife.org/extended/666.mp3,"Satan! In his many surprising manifestations, all around us.",https://tal.fm/666,"Sun, 20 Jan 2019 18:00:00 -0500"
665,Before Things Went to Hell,https://podcast.thisamericanlife.org/extended/665.mp3,"We revisit those moments of calm before the storm, when things could have gone very differently, but instead, they went to hell.",https://tal.fm/665,"Sun, 13 Jan 2019 18:00:00 -0500"
